date,tweet_id,content,username,retweets,likes,replies;;;
2023-04-12 11:51:26+00:00,1646118825371238400,Tot a punt per les vuitenes sessions del jurat del Barcelona Beer Challenge 🍻🙂 👉https://t.co/iFddlUF4I1  @BcnBeerFest @BCNmoltmes @catexperience @llicamunt @CCV_ORIENTAL  #BBF23 #benestargastronomic #vallesoriental,Turismevalles,0,3,0;;;
"2023-04-11 12:38:00+00:00,1645768157184032768,""Showcasing the very best debut non-fiction at #BBF23! This year we look forward to  🌟Carrie Kills a Man, Carrie Marshall 🌟The Secret Diaries of Ignatius Sancho, Paterson Joseph 🌟 Stone Will Answer, Beatrice Searle 🌟 Serious Minds, Richard McLaughlan 🌟 Killjoy, Jo Cheetham https://t.co/oD8aWwBYZP"",bozzyfest,5,13,0";;;
2023-04-10 12:34:15+00:00,1645404828158287872,Mooie muziek en harde woei bij Big Band Festival in Goor. #BBF23 #BigBand https://t.co/26MCwA9F9O,RvanDongen,0,2,0;;;
2023-04-10 12:29:12+00:00,1645403556801830913,Big Band Festival in Goor. Lente in Twente #bbf23 #bigband https://t.co/KtggKvwPZc,RvanDongen,0,0,0;;;
2023-04-06 16:01:02+00:00,1644007313248866308,Na Belgrade Beer Fest dolaze Ana Popović i Morcheeba #BBF23 https://t.co/DcV7SVa8DD,Festivalac2023,0,0,0;;;
2023-04-05 09:00:05+00:00,1643538990832795649,Barcelona Beer Festival 2023 presenta su nuevo cartel #BBF23 https://t.co/fYvtJIzNxh,i_bebidas,0,0,0;;;
2023-04-05 09:00:05+00:00,1643538989553516544,Barcelona Beer Festival 2023 presenta su nuevo cartel #BBF23 https://t.co/1sFb5mOs2u,int_hosteleria,0,0,0;;;
2023-04-05 09:00:04+00:00,1643538988207095808,Barcelona Beer Festival 2023 presenta su nuevo cartel #BBF23 https://t.co/3b0C2JBQdW,i_alimentacion,0,1,0;;;
2023-04-04 18:25:11+00:00,1643318813419503617,¿Aún no conocéis el cartel del #BBF23? 🍺  ✍️ Lo presentaron el pasado 29 de marzo y ha sido realizado por el ilustrador Jaime Martín.  https://t.co/TglAhjrvAJ,ESCYM,0,1,0;;;
"2023-03-31 16:51:05+00:00,1641845582334509056,""It's great to see @carrieinglasgow getting the recognition she deserves for her funny, honest and insightful memoir, Carrie Kills a Man.  We can't wait to hear from Carrie Marshall at #BBF23. Check out this great review 👇 https://t.co/rGAFyWH98b"",bozzyfest,2,6,0";;;
2023-03-30 06:29:58+00:00,1641326883441725440,#BBF23 ja el tenim aquí! Ahir vàrem presentar aquesta meravella de cartell de Jaime Martín al @homosibaris El nostre robot s'ha quedat a l'únic món que hi ha cervesa i s'ha engorilat a les torres de la Fira de Montjuïc. En dos mesos estem totes allà celebrant cervesa i vida! https://t.co/Iwp0geSOQ5,BcnBeerFest,17,40,0;;;
"2023-04-14 12:03:34+00:00,1646846657026293764,""Romain Meltz (@lemediapol) et trois étudiants en licence Science Politique à l'@univ_lyon2 présentent la prochaine édition des @Nuits_sonores, qui se tiendra du 17 au 21 mai à Lyon. #NS20ans 🎚️ 🎵 https://t.co/E7xTzWj5b4"",RCFLyon,1,3,0";;;
"2023-04-15 18:05:58+00:00,1647300246764961792,""Gewinne, Gewinne, Gewinne   #hochdiehändewochenende #Hannover #frühlingsfest #Niedersachsen #losbude #kirmes #rummel https://t.co/Pg8xwCjIU5"",hannoverfotogr1,0,1,0";;;
2023-04-15 17:49:09+00:00,1647296012623519745,#Frühlingsfest is in full swing at Wunder Garten!! 🍻Stein Holding Contests 🍻German Food 🍻Live Music 🍻Spring Cocktails 🍻DJ Parties 🍻German Beer 🍻 and more!!🍻 https://t.co/0vYLq0ACVt,WundergartenDC,0,0,0;;;
"2023-04-14 10:37:04+00:00,1646824888399802369,""Beim #Frühlingsfest an der Grundschule #Erdeborn startete heute offiziell das Schulgarten-Projekt für die #Kinder. Staatssekretär Frank Diesener, Mitglied im @Landtag_LSA Michael Scheffler und AOK-Landesrepräsentant Henry Saage unterstützten vor Ort.🍏 https://t.co/3aO5r270Um"",AOK_SAN_,0,5,0";;;
"2023-04-13 13:38:51+00:00,1646508247078305792,""„Mama, du bist immer so schissig!“ #Familie #Fruehlingsfest https://t.co/G2517TjW0x"",StZ_NEWS,0,0,0";;;
"2023-04-13 08:40:51+00:00,1646433254906507264,""@Markus_Soeder """"Hände weg von Drogen!"""" - WANN verkauft Ihre #Bayern-Regierung denn nun die Brauereien #HofbräuMünchen und @weihenstephan?  WO gehen Sie nun hin, um ab jetzt jeden #Drogen-Club..Äh..jedes Bierzelt zu MEIDEN? #Frühlingsfest und  #Oktoberfest in #Muenchen OHNE #soedersäuft - Cool! https://t.co/jIb4KB8OEc"",KollerRegina,0,0,0";;;
2023-04-12 19:10:12+00:00,1646229247235588104,Das Riesenrad des Frühlingsfestes auf dem Cannstatter Wasen #riesenrad  #ferriswheel  #frühlingsfest #wasen #badcannstatt #Stuttgart  #entertainment  #carnival  #anastigmatfrankar #75mm https://t.co/OHG2N6OE80,shooterstgt,0,0,0;;;
"2023-04-12 16:00:59+00:00,1646181630527062019,""Der Frühling beginnt in #Wiesbaden mit viel Tempo, jeder Menge Spaß und zahlreichen kulinarischen Leckereien: Von Freitag, 14., bis Montag, 17. April, wird auf dem Elsässer Platz das beliebte #Frühlingsfest gefeiert. https://t.co/NuOMGTWIYM"",MainVerlag,0,0,0";;;
"2023-04-12 11:43:12+00:00,1646116756073660417,""Zum #Frühlingsfest hat die AOK Sachsen-Anhalt der Schule """"Am Heidetor"""" in #Zerbst eine Erstausstattung aus Gartenwerkzeugen und Samen übergeben. Zudem erhalten die #Schulen im Projektzeitraum in jedem Gartenjahr 500 Euro zum weiteren Einkauf von Saatgut und Pflanzen.💚 https://t.co/BZKDLejF5C"",AOK_SAN_,0,5,0";;;
"2023-04-12 11:33:59+00:00,1646114436325810176,""Das Schulgarten-Projekt „Kleines Gemüse ganz groß“ der AOK Sachsen-Anhalt unterstützt #Schulen dabei, #Schulgärten wiederzubeleben. An der Schule „Am Heidetor“ in #Zerbst startete jetzt das auf drei Jahre ausgelegte #Projekt mit einem #Frühlingsfest.☀️ https://t.co/JYvCj7z9vB"",AOK_SAN_,0,3,0";;;
2023-04-11 20:25:27+00:00,1645885796409389058,DRK-Sanitäter auf dem #Frühlingsfest in #Hannover aktiv https://t.co/qi4if3CM1n,Sehnde_News,0,0,0;;;
2023-04-11 14:37:09+00:00,1645798142313631751,🌿🌸 Olivenblüte 2023 🕊️🌿 Erste Triebe am Olivenbaum kündigen die neue Ernte an! 🌱✨ Zarte Blüten &amp; frisches Grün zaubern Frühlingsfreude. 🍃🌼 Fröhliches Frühlingsfest &amp; auf eine blühende Olivenblüte! 🌷🌿🕊️ #Olivenblüte2023 #Frühlingsfest #Olivenbaum #Naturwunder https://t.co/VcM9p6gfTB,jordanoliveoil,0,3,0;
